Date,SMA_5
2000-01-07,26.359375
2000-01-10,26.240625
2000-01-11,26.475
2000-01-12,26.65625
2000-01-13,27.109375
2000-01-14,27.28125
2000-01-18,27.05625
2000-01-19,27.15
2000-01-20,27.79375
2000-01-21,28.509375
2000-01-24,28.5875
2000-01-25,28.66875
2000-01-26,28.4625
2000-01-27,27.71875
2000-01-28,26.4875
2000-01-31,26.0640625
2000-02-01,25.8203125
2000-02-02,25.7453125
2000-02-03,26.2328125
2000-02-04,27.2765625
2000-02-07,28.275
2000-02-08,28.83125
2000-02-09,29.39375
2000-02-10,29.95625
2000-02-11,30.14375
2000-02-14,30.36875
2000-02-15,30.55
2000-02-16,30.68125
2000-02-17,30.6125
2000-02-18,30.5
2000-02-22,30.2125
2000-02-23,30.38125
2000-02-24,30.45
2000-02-25,31.35
2000-02-28,32.35625
2000-02-29,33.85
2000-03-01,34.69375
2000-03-02,35.35
2000-03-03,35.7875
2000-03-06,36.5
2000-03-07,36.56875
2000-03-08,37.73125
2000-03-09,39.28125
2000-03-10,39.94375
2000-03-13,40.24375
2000-03-14,40.45
2000-03-15,40.0
2000-03-16,39.79375
2000-03-17,39.6125
2000-03-20,39.55
2000-03-21,39.91875
2000-03-22,40.4625
2000-03-23,40.95625
2000-03-24,41.675
2000-03-27,42.70625
2000-03-28,43.29375
2000-03-29,43.1375
2000-03-30,42.29375
2000-03-31,41.4
2000-04-03,40.24375
2000-04-04,39.18125
2000-04-05,38.75625
2000-04-06,39.13125
2000-04-07,40.0375
2000-04-10,40.6
2000-04-11,40.74375
2000-04-12,40.23125
2000-04-13,39.20625
2000-04-14,36.74375
2000-04-17,35.975
2000-04-18,36.13125
2000-04-19,36.275
2000-04-20,36.1625
2000-04-24,37.15625
2000-04-25,37.23125
2000-04-26,36.55625
2000-04-27,36.83125
2000-04-28,37.74375
2000-05-01,38.46875
2000-05-02,38.69375
2000-05-03,39.05625
2000-05-04,38.75
2000-05-05,38.4375
2000-05-08,37.7
2000-05-09,37.11875
2000-05-10,36.3
2000-05-11,36.1125
2000-05-12,35.85
2000-05-15,36.31875
2000-05-16,37.0375
2000-05-17,38.09375
2000-05-18,38.1625
2000-05-19,37.75
2000-05-22,36.83125
2000-05-23,35.175
2000-05-24,33.78125
2000-05-25,33.11875
2000-05-26,32.8125
2000-05-30,33.45
2000-05-31,34.375
2000-06-01,35.7375
2000-06-02,37.1125
2000-06-05,38.50625
2000-06-06,38.79375
2000-06-07,39.60625
2000-06-08,40.05625
2000-06-09,40.30625
2000-06-12,40.26875
2000-06-13,40.73125
2000-06-14,40.63125
2000-06-15,40.64375
2000-06-16,40.5625
2000-06-19,41.10625
2000-06-20,41.5421875
2000-06-21,42.2609375
2000-06-22,42.1609375
2000-06-23,41.9234375
2000-06-26,41.5921875
2000-06-27,41.2125
2000-06-28,40.8875
2000-06-29,40.825
2000-06-30,41.28125
2000-07-03,41.03125
2000-07-05,40.0375
2000-07-06,39.30625
2000-07-07,38.80625
2000-07-10,37.8125
2000-07-11,37.025
2000-07-12,37.2625
2000-07-13,37.275
2000-07-14,37.3
2000-07-17,37.5
2000-07-18,37.6875
2000-07-19,37.59375
2000-07-20,37.83125
2000-07-21,37.7625
2000-07-24,37.65
2000-07-25,37.83125
2000-07-26,38.13125
2000-07-27,37.825
2000-07-28,37.51875
2000-07-31,37.5375
2000-08-01,37.25
2000-08-02,36.8875
2000-08-03,37.125
2000-08-04,38.04375
2000-08-07,38.7125
2000-08-08,39.7
2000-08-09,40.525
2000-08-10,40.7875
2000-08-11,40.74375
2000-08-14,40.79375
2000-08-15,40.61875
2000-08-16,40.6
2000-08-17,40.9875
2000-08-18,41.00625
2000-08-21,41.0875
2000-08-22,41.31875
2000-08-23,41.4875
2000-08-24,41.5625
2000-08-25,41.89375
2000-08-28,42.25
2000-08-29,42.66875
2000-08-30,43.20625
2000-08-31,43.83125
2000-09-01,44.63125
2000-09-05,45.0625
2000-09-06,45.2125
2000-09-07,45.50625
2000-09-08,45.06875
2000-09-11,44.15
2000-09-12,42.98125
2000-09-13,42.2375
2000-09-14,41.6125
2000-09-15,40.7875
2000-09-18,40.090625
2000-09-19,40.084375
